任务序号,地图编号,是否组队,使用卡片,不使用卡片,数量限制,产火数
1,NO-1-4,False,None,,,0
2,NO-1-6,False,None,,,0
3,NO-1-9,False,None,,,0
4,NO-1-7,False,None,,,0
5,NO-1-12,False,None,,,0
6,NO-1-14,True,None,,,0
7,NO-2-1,True,None,,,0
8,NO-2-2,True,None,,,0
9,NO-2-3,False,None,,,0
10,NO-2-4,True,None,"狮子座精灵,樱桃反弹布丁,瓜皮护罩",,6000
11,NO-2-5,False,None,,5,0
12,NO-2-7,False,None,木盘子,,0
13,NO-2-8,False,酒杯灯,"小火炉,狮子座精灵,樱桃反弹布丁,瓜皮护罩",,0
14,NO-2-9,False,None,,,0
15,NO-2-10,False,None,,4,0
16,NO-2-11,False,None,,,0
17,NO-2-14,False,None,"狮子座精灵,樱桃反弹布丁,瓜皮护罩",,3000
18,NO-2-2,True,None,"狮子座精灵,樱桃反弹布丁,瓜皮护罩",,5000
19,NO-2-15,True,None,,,0
20,NO-4-2,False,None,,,0
21,NO-4-3,False,None,,,0
22,NO-4-5,False,None,,7,0
23,NO-4-6,False,None,,,0
24,NO-4-7,False,None,,,0
25,NO-4-8,False,None,,,0
26,NO-5-2,False,None,,,0
27,NO-5-3,False,None,,,0
28,NO-5-4,False,None,,,0
29,NO-1-5,True,None,,,0
30,NO-1-10,True,None,,,0
31,NO-1-9,True,None,,,0
32,NO-1-7,True,None,,10,0
33,NO-1-8,True,None,,,0
34,NO-1-11,True,None,"狮子座精灵,樱桃反弹布丁,瓜皮护罩",,5000
35,NO-1-12,True,换气扇,,,0
36,NO-1-14,True,酒杯灯,"小火炉,狮子座精灵,樱桃反弹布丁,瓜皮护罩",7,0
37,NO-2-6,True,None,,,0
38,NO-2-7,True,None,,,0
39,NO-2-8,True,None,,,0
40,NO-2-9,True,None,,,0
41,NO-2-10,True,None,,,0
42,NO-2-11,True,None,,,0
43,NO-2-12,True,None,,,0
44,NO-2-13,True,None,"狮子座精灵,樱桃反弹布丁,瓜皮护罩",,8000
45,NO-2-14,True,None,,,0
46,NO-2-15,True,None,,,0
47,NO-4-1,True,None,,,0
48,NO-4-3,True,None,糖葫芦炮弹,,0
49,NO-4-4,True,None,"狮子座精灵,樱桃反弹布丁,瓜皮护罩",,10000
50,NO-4-5,True,None,,,0
51,NO-5-1,True,None,苏打气泡,,0
52,NO-5-2,True,None,,,0
53,NO-5-3,True,None,,3,0
54,NO-3-1,True,None,,,0
55,NO-3-2,True,None,,,0
56,NO-3-3,True,None,,,0
